,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
423274055,['1'],423274,HEARST AVE,055,MC GEE AVE,MARTIN LUTHER KING JR WAY,48780,2022-07-26,64,2015-08-14,FIBER MICROSURFACING,6.0,2015.0,0 - Light Maintenance,Collector,1355,36,Asphalt
424274060,['4'],424274,HEARST AVE,060,MARTIN LUTHER KING JR WAY,MILVIA ST,22780,2022-07-26,44,1997-06-26,RECONSTRUCT STRUCTURE (AC),25.0,1997.0,4 - Reconstruct,Arterial,670,34,Asphalt
524274062,['4'],524274,HEARST AVE,062,MILVIA ST,HENRY ST,15410,2022-07-26,95,2020-05-26,MILL AND THICK OVERLAY,2.0,2020.0,3 - Heavy Rehab,Arterial,335,46,Overlay of asphalt over asphalt
524274064,['4'],524274,HEARST AVE,064,HENRY ST,SHATTUCK AVE,18150,2022-07-26,88,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,330,55,Overlay of asphalt over asphalt
524274065,['4'],524274,HEARST AVE,065,SHATTUCK AVE,WALNUT ST,18525,2022-07-26,87,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,325,57,Overlay of asphalt over asphalt
524274067,['4'],524274,HEARST AVE,067,WALNUT ST,OXFORD ST,20235,2022-07-26,88,2017-12-22,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Arterial,355,57,Overlay of asphalt over asphalt
524274068,"['6', '7']",524274,HEARST AVE,068,OXFORD ST,SPRUCE ST,14500,2022-07-26,90,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,250,58,Overlay of asphalt over asphalt
525274070,"['6', '7']",525274,HEARST AVE,070,SPRUCE ST,ARCH ST,23800,2022-07-26,90,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,425,56,Overlay of asphalt over asphalt
525274075,"['6', '7']",525274,HEARST AVE,075,EUCLID AVE,LA LOMA AVE,38025,2022-07-26,93,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,975,39,Overlay of asphalt over asphalt
524274077,['6'],524274,HEARST AVE,077,LA LOMA AVE,HIGHLAND PL,11900,2022-07-06,81,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Arterial,340,35,Asphalt
525274078,['6'],525274,HEARST AVE,078,HIGHLAND PL,DEAD END (COP @ CL),3220,2022-07-06,79,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,140,23,Overlay of asphalt over asphalt
525274072,['7'],525274,HEARST AVE (EB),072,ARCH ST,EUCLID AVE,23200,2022-07-26,89,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,1160,20,Overlay of asphalt over asphalt
525274073,['6'],525274,HEARST AVE (WB),073,EUCLID AVE,ARCH ST,26680,2022-07-26,95,,,,,,Arterial,1160,23,Overlay of asphalt over asphalt
920275030,['2'],920275,HEINZ AVE,030,3RD ST (WEST END),7TH ST,43092,2022-07-13,77,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Residential/Local,1197,36,Asphalt
920275042,['2'],920275,HEINZ AVE,042,7TH ST,9TH ST,25488,2022-10-26,48,2022-10-26,RUBBERIZED CAPE SEAL,-1.0,2022.0,1 - Heavy Maintenance,Residential/Local,708,36,Overlay of asphalt over asphalt
920275046,['2'],920275,HEINZ AVE,046,9TH ST,SAN PABLO AVE,23760,2022-09-28,100,2022-09-28,RECONSTRUCT STRUCTURE (AC),-1.0,2022.0,4 - Reconstruct,Residential/Local,660,36,Asphalt
517276030,['5'],517276,HENRY ST,030,EUNICE ST,ROSE ST,85250,2022-07-14,36,1994-07-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Arterial,1375,62,Asphalt
517276034,['5'],517276,HENRY ST,034,ROSE ST,VINE ST,23760,2022-07-14,95,2019-07-03,RECONSTRUCT STRUCTURE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,660,36,Asphalt
517276035,['5'],517276,HENRY ST,035,VINE ST,CEDAR ST,23580,2022-07-14,95,2019-07-03,RECONSTRUCT STRUCTURE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,655,36,Asphalt
524276045,['4'],524276,HENRY ST,045,HEARST AVE,BERKELEY WAY,11390,2022-07-26,56,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,335,34,Overlay of asphalt over asphalt
115277020,['6'],115277,HIGH COURT,020,DEAD END,OAK ST,15480,2022-07-07,26,,,,,,Residential/Local,645,24,Overlay of asphalt over asphalt
525278040,['6'],525278,HIGHLAND PL,040,NORTH END,RIDGE RD,3225,2022-07-08,5,,,,,,Residential/Local,215,15,Asphalt
525278042,['6'],525278,HIGHLAND PL,042,RIDGE RD,HEARST AVE,12420,2022-07-08,92,2019-10-11,LIGHT REHAB,2.0,2019.0,2 - Light Rehab,Residential/Local,345,36,Asphalt over Portland cement
525279070,['6'],525279,HILGARD AVE,070,ARCH ST,SCENIC AVE,15840,2022-07-06,55,,,,,,Residential/Local,440,36,Overlay of asphalt over asphalt
525279072,['6'],525279,HILGARD AVE,072,SCENIC AVE,EUCLID AVE,21420,2022-07-06,75,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,595,36,Overlay of asphalt over asphalt
525279074,['6'],525279,HILGARD AVE,074,EUCLID AVE,LA LOMA AVE,36750,2022-07-06,82,2010-06-30,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Residential/Local,1050,35,Asphalt
525279078,['6'],525279,HILGARD AVE,078,LA LOMA AVE,LA VEREDA RD,8330,2022-07-06,88,,,,,,Residential/Local,490,17,Overlay of asphalt over asphalt
525279080,['6'],525279,HILGARD AVE,080,LA VEREDA RD,DEAD END,5280,2022-07-06,92,2019-07-03,MILL AND THIN OVERLAY,3.0,2019.0,2 - Light Rehab,Residential/Local,220,24,Overlay of asphalt over asphalt
516280070,['6'],516280,HILL CT,070,EUCLID AVE,DEAD END (EUCLID AVE),4650,2022-07-07,97,2020-07-10,RECONSTRUCT SURFACE (AC),2.0,2020.0,4 - Reconstruct,Residential/Local,310,15,Asphalt
116281025,['6'],116281,HILL RD,025,SHASTA RD,DEAD END,10350,2022-07-07,8,,,,,,Residential/Local,575,18,Overlay of asphalt over asphalt
516281030,['6'],516281,HILL RD,030,DEAD END NR AJAX LANE,GRIZZLY PEAK BLVD (SOUTH),18900,2022-07-07,19,,,,,,Residential/Local,945,20,Asphalt
638282070,['8'],638282,HILLCREST CT,070,THE FOOTWAY,HILLCREST RD,3800,2022-07-20,47,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,190,20,Overlay of asphalt over asphalt
638283088,['8'],638283,HILLCREST RD,088,ROANOKE RD,DEAD END ABOVE ROANOKE RD,9360,2022-07-20,25,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,390,24,Overlay of asphalt over asphalt
111284010,['6'],111284,HILLDALE AVE,010,GRIZZLY PEAK BLVD,MARIN AVE,39270,2022-07-07,20,1991-09-01,MILL AND THICK OVERLAY,30.0,1991.0,3 - Heavy Rehab,Residential/Local,1870,21,Overlay of asphalt over asphalt
115284020,['6'],115284,HILLDALE AVE,020,MARIN AVE,REGAL RD,25300,2022-07-07,17,1999-09-08,RECONSTRUCT SURFACE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,1265,20,Asphalt
736285060,['8'],736285,HILLEGASS AVE,060,DWIGHT WAY,ASHBY AVE,115200,2022-07-28,65,2000-05-31,RECONSTRUCT STRUCTURE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,3200,36,Asphalt
739285070,['8'],739285,HILLEGASS AVE,070,ASHBY AVE,CITY LIMIT (WOOLSEY ST),30780,2022-07-28,73,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,855,36,Asphalt
627286050,['8'],627286,HILLSIDE AVE,050,PROSPECT ST,DWIGHT WAY,22800,2022-07-27,86,2013-07-03,MILL AND OVERLAY,9.0,2013.0,3 - Heavy Rehab,Residential/Local,760,30,Overlay of asphalt over asphalt
627287050,['8'],627287,HILLSIDE CT,050,DEAD END (HILLSIDE AVE),HILLSIDE AVE,4640,2022-07-27,91,2013-07-03,RECONSTRUCT SURFACE (AC),9.0,2013.0,4 - Reconstruct,Residential/Local,290,16,Asphalt
115288020,['6'],115288,HILLVIEW RD,020,WOODSIDE RD,PARK HILLS RD,27830,2022-07-08,84,2012-07-25,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,1265,22,Asphalt
920289070,['2'],920289,HOLLIS ST,070,FOLGER AVE,SOUTH CITY LIMIT,7525,2022-07-13,69,2008-07-07,MILL AND THICK OVERLAY,14.0,2008.0,3 - Heavy Rehab,Collector,175,43,Overlay of asphalt over asphalt
418290030,['5'],418290,HOLLY ST,030,ROSE ST,CEDAR ST,32760,2022-07-29,97,2021-11-30,RECONSTRUCT STRUCTURE (AC),0.0,2021.0,4 - Reconstruct,Residential/Local,910,36,Asphalt
213292020,['1'],213292,HOPKINS CT,020,ALBINA AVE,HOPKINS ST,14250,2022-07-18,82,2003-11-06,RECONSTRUCT SURFACE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,570,25,Asphalt
319293040,['1'],319293,HOPKINS ST,040,SAN PABLO AVE,STANNAGE AVE,20000,2022-07-21,52,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,500,40,Overlay of asphalt over asphalt
319293042,['1'],319293,HOPKINS ST,042,STANNAGE AVE,NORTHSIDE AVE,36600,2022-07-21,63,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,915,40,Overlay of asphalt over asphalt
319293045,['1'],319293,HOPKINS ST,045,NORTHSIDE AVE,PERALTA AVE,19075,2022-07-21,70,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,545,35,Overlay of asphalt over asphalt
319293046,['1'],319293,HOPKINS ST,046,PERALTA AVE,GILMAN ST,51912,2022-07-21,47,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,1442,36,Overlay of asphalt over asphalt
319293047,['1'],319293,HOPKINS ST,047,GILMAN ST,SACRAMENTO ST,19080,2022-07-19,23,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,530,36,Overlay of asphalt over asphalt
213293049,"['1', '5']",213293,HOPKINS ST,049,SACRAMENTO ST,HOPKINS CT,7200,2022-07-19,45,,,,,,Arterial,200,36,Overlay of asphalt over asphalt
213293050,['5'],213293,HOPKINS ST,050,HOPKINS CT,MONTEREY AVE,9000,2022-07-19,41,,,,,,Collector,250,36,Overlay of asphalt over asphalt
213293052,['5'],213293,HOPKINS ST,052,MONTEREY AVE,MC GEE AVE,10000,2022-07-19,42,1989-12-01,RECONSTRUCT STRUCTURE (AC),32.0,1989.0,4 - Reconstruct,Collector,250,40,Asphalt
213293053,['5'],213293,HOPKINS ST,053,MC GEE AVE,CARLOTTA AVE,14400,2022-07-19,45,1989-12-01,RECONSTRUCT STRUCTURE (AC),32.0,1989.0,4 - Reconstruct,Collector,320,45,Asphalt
213293055,['5'],213293,HOPKINS ST,055,CARLOTTA AVE,JOSEPHINE ST,68625,2022-07-19,40,1989-12-01,MILL AND THICK OVERLAY,32.0,1989.0,3 - Heavy Rehab,Collector,1525,45,Overlay of asphalt over asphalt
213293059,['5'],213293,HOPKINS ST,059,JOSEPHINE ST,THE ALAMEDA,20100,2022-07-19,44,1991-07-01,RECONSTRUCT STRUCTURE (AC),31.0,1991.0,4 - Reconstruct,Collector,335,60,Asphalt
114293060,['5'],114293,HOPKINS ST,060,THE ALAMEDA,SUTTER ST,82500,2022-07-19,26,1991-07-01,MILL AND THICK OVERLAY,31.0,1991.0,3 - Heavy Rehab,Collector,1375,60,Overlay of asphalt over asphalt
736294070,['3'],736294,HOWE ST,070,ELLSWORTH ST,TELEGRAPH AVE,19620,2022-07-28,17,1998-11-25,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,545,36,Overlay of asphalt over asphalt
940300072,['2'],940300,IDAHO ST,072,66TH ST,ALCATRAZ AVE,29628,2022-07-12,18,1996-05-01,THIN AC OVERLAY(1.5 INCHES),26.0,1996.0,1 - Heavy Maintenance,Residential/Local,823,36,Overlay of asphalt over asphalt
940300076,['2'],940300,IDAHO ST,076,ALCATRAZ AVE,SOUTH CITY LIMIT,4860,2022-07-12,79,2013-09-01,OVERLAY,8.0,2013.0,3 - Heavy Rehab,Residential/Local,135,36,Overlay of asphalt over asphalt
112301062,['5'],112301,INDIAN ROCK AVE,062,ARLINGTON AVE,SAN LUIS RD,48000,2022-07-18,49,1998-08-10,RECONSTRUCT STRUCTURE (AC),23.0,1998.0,4 - Reconstruct,Residential/Local,1600,30,Asphalt
112301064,['5'],112301,INDIAN ROCK AVE,064,SAN LUIS RD,SANTA BARBARA RD,16950,2022-07-18,18,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,565,30,Overlay of asphalt over asphalt
418310050,['5'],418310,JAYNES ST,050,CALIFORNIA ST,EDITH ST,35640,2022-07-19,85,2015-12-17,RECONSTRUCT SURFACE (AC),6.0,2015.0,4 - Reconstruct,Residential/Local,990,36,Asphalt
830311050,['4'],830311,JEFFERSON AVE,050,UNIVERSITY AVE,ADDISON ST,8040,2022-07-21,32,1995-10-01,MILL AND OVERLAY W/FABRIC,26.0,1995.0,3 - Heavy Rehab,Residential/Local,335,24,Overlay of asphalt over asphalt
830311052,['4'],830311,JEFFERSON AVE,052,ALLSTON WAY,DWIGHT WAY,78000,2022-07-27,30,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,2000,39,Asphalt
320312020,['1'],320312,JONES ST,020,EASTSHORE HWY,2ND ST,10360,2022-07-21,91,2019-07-03,MILL AND THIN OVERLAY,3.0,2019.0,2 - Light Rehab,Residential/Local,280,37,Overlay of asphalt over asphalt
320312025,['1'],320312,JONES ST,025,4TH ST,6TH ST,24660,2022-07-21,94,2019-07-03,MILL AND OVERLAY,3.0,2019.0,3 - Heavy Rehab,Residential/Local,685,36,Overlay of asphalt over asphalt
319312040,['1'],319312,JONES ST,040,SAN PABLO AVE,STANNAGE AVE,18180,2022-07-21,63,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,505,36,Overlay of asphalt over asphalt
213313020,['5'],213313,JOSEPHINE ST,020,THE ALAMEDA,HOPKINS ST,20700,2022-07-14,95,2019-07-03,RECONSTRUCT SURFACE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,575,36,Asphalt
418313032,['5'],418313,JOSEPHINE ST,032,HOPKINS ST,ROSE ST,46440,2022-07-14,79,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1290,36,Overlay of asphalt over asphalt
418313036,['5'],418313,JOSEPHINE ST,036,ROSE ST,CEDAR ST,47520,2022-07-14,66,2012-08-15,MILL AND THIN OVERLAY,9.0,2012.0,2 - Light Rehab,Residential/Local,1320,36,Overlay of asphalt over asphalt
423313040,['1'],423313,JOSEPHINE ST,040,CEDAR ST,VIRGINIA ST,23760,2022-07-21,28,1997-07-22,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,660,36,Overlay of asphalt over asphalt
319314035,['1'],319314,JUANITA WAY,035,ROSE ST,CEDAR ST,14875,2022-07-21,26,1998-08-10,MILL AND THICK OVERLAY,23.0,1998.0,3 - Heavy Rehab,Residential/Local,595,25,Overlay of asphalt over asphalt
834315050,['3'],834315,JULIA ST,050,SACRAMENTO ST,KING ST,50940,2022-07-11,74,2008-04-15,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,1415,36,Asphalt
319320030,['1'],319320,KAINS AVE,030,NORTH CITY LIMIT,HOPKINS ST,81900,2022-07-20,81,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,2730,30,Asphalt
322320040,['1'],322320,KAINS AVE,040,CEDAR ST,VIRGINIA ST,19800,2022-07-20,64,2004-08-31,MILL AND THIN OVERLAY,17.0,2004.0,2 - Light Rehab,Residential/Local,660,30,Overlay of asphalt over asphalt
729535050,['4'],729535,KALA BAGAI WAY,050,ADDISON ST,UNIVERSITY AVE,17800,2022-07-27,94,2020-06-10,RECONSTRUCT SURFACE (AC),2.0,2020.0,4 - Reconstruct,Arterial,356,50,Asphalt
729051052,['4'],729051,KALA BAGAI WAY,052,CENTER ST,ADDISON ST,15840,2022-07-27,43,2020-06-10,RECONSTRUCT SURFACE (AC),2.0,2020.0,4 - Reconstruct,Arterial,330,48,Asphalt
111321010,['6'],111321,KEELER AVE,010,GRIZZLY PEAK BLVD,MARIN AVE,27000,2022-07-07,86,2015-12-14,RECONSTRUCT SURFACE (AC),6.0,2015.0,4 - Reconstruct,Residential/Local,1350,20,Asphalt
111321020,['6'],111321,KEELER AVE,020,MARIN AVE,MILLER AVE,19475,2022-07-07,14,1991-08-01,MILL AND THICK OVERLAY,30.0,1991.0,3 - Heavy Rehab,Residential/Local,1025,19,Overlay of asphalt over asphalt
111321023,['6'],111321,KEELER AVE,023,MILLER AVE,POPPY LANE,10800,2022-07-07,17,1991-08-01,MILL AND THICK OVERLAY,30.0,1991.0,3 - Heavy Rehab,Residential/Local,600,18,Overlay of asphalt over asphalt
115321025,['6'],115321,KEELER AVE,025,STERLING AVE,BRET HARTE RD,8000,2022-07-08,42,1996-07-01,RECONSTRUCT STRUCTURE (AC),26.0,1996.0,4 - Reconstruct,Residential/Local,400,20,Asphalt
115321027,['6'],115321,KEELER AVE,027,BRET HARTE RD,SHASTA RD,44000,2022-07-08,54,1996-07-01,RECONSTRUCT STRUCTURE (AC),26.0,1996.0,4 - Reconstruct,Residential/Local,1760,25,Asphalt
115323020,['6'],115323,KEITH AVE,020,SPRUCE ST,EUCLID AVE,32384,2022-07-07,70,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,1472,22,Overlay of asphalt over asphalt
115323025,['6'],115323,KEITH AVE,025,EUCLID AVE,SHASTA RD,64250,2022-07-07,74,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,2570,25,Asphalt
637324060,['8'],637324,KELSEY ST,060,STUART ST,RUSSELL ST,18000,2022-07-29,75,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,500,36,Asphalt
112325010,['5'],112325,KENTUCKY AVE,010,VASSAR AVE,MARYLAND AVE,12350,2022-07-18,53,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,475,26,Asphalt
112325015,['5'],112325,KENTUCKY AVE (NB),015,MARYLAND AVE,MICHIGAN AVE,12600,2022-07-18,42,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,840,15,Asphalt
112325020,['5'],112325,KENTUCKY AVE (SB),020,MICHIGAN AVE,MARYLAND AVE,12600,2022-07-18,44,,,,,,Residential/Local,840,15,Asphalt
319326040,['1'],319326,KEONCREST DR,040,ROSE ST,ACTON ST,23750,2022-07-26,20,1998-08-10,MILL AND THICK OVERLAY,23.0,1998.0,3 - Heavy Rehab,Residential/Local,950,25,Overlay of asphalt over asphalt
834327068,['3'],834327,KING ST,068,RUSSELL ST,ASHBY AVE,23495,2022-07-12,75,2002-07-31,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,635,37,Asphalt
840327070,['3'],840327,KING ST,070,ASHBY AVE,FAIRVIEW ST,49025,2022-07-12,72,2002-07-31,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,1325,37,Asphalt
840327075,['3'],840327,KING ST,075,FAIRVIEW ST,SOUTH CITY LIMIT (62ND ST),55500,2022-07-12,73,2002-07-31,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,1500,37,Asphalt
729328063,['4'],729328,KITTREDGE ST,063,MILVIA ST,SHATTUCK AVE,25380,2022-07-27,40,1984-09-01,SLURRY SEAL,37.0,1984.0,0 - Light Maintenance,Residential/Local,705,36,Overlay of asphalt over asphalt
729328066,['4'],729328,KITTREDGE ST,066,SHATTUCK AVE,FULTON ST,14080,2022-07-27,14,1992-11-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,440,32,Overlay of asphalt over asphalt
516340030,['6'],516340,LA LOMA AVE,030,GLENDALE AVE,EL PORTAL CT,9000,2022-07-06,67,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,250,36,Overlay of asphalt over asphalt
516340032,['6'],516340,LA LOMA AVE,032,EL PORTAL CT,QUARRY RD,5425,2022-07-06,75,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,155,35,Overlay of asphalt over asphalt
516340034,['6'],516340,LA LOMA AVE,034,START PCC,END PCC,15525,2022-07-06,79,1993-07-01,RECONSTRUCT STRUCTURE (PCC),29.0,1993.0,4 - Reconstruct,Collector,575,27,Portland cement
516340036,['6'],516340,LA LOMA AVE,036,END PCC,BUENA VISTA WAY,17640,2022-07-06,26,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Collector,630,28,Overlay of asphalt over asphalt
516340038,['6'],516340,LA LOMA AVE,038,BUENA VISTA WAY,CEDAR ST,24480,2022-07-06,33,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Collector,765,32,Overlay of asphalt over asphalt
525340045,['6'],525340,LA LOMA AVE,045,VIRGINIA ST,LE CONTE AVE,6825,2022-07-06,40,1995-06-01,RECONSTRUCT STRUCTURE (AC),27.0,1995.0,4 - Reconstruct,Collector,273,25,Asphalt
525340050,['6'],525340,LA LOMA AVE,050,LE CONTE AVE,HEARST AVE,26244,2022-07-06,47,,,,,,Collector,729,36,Asphalt
516348030,['6'],516348,LA VEREDA RD,030,LA LOMA AVE,CEDAR ST,9900,2022-07-06,79,2015-04-15,THIN OVERLAY,7.0,2015.0,1 - Heavy Maintenance,Residential/Local,550,18,Overlay of asphalt over asphalt
525348040,['6'],525348,LA VEREDA RD,040,CEDAR ST,DEAD END ABOVE VIRGINIA ST,14760,2022-07-06,91,2015-04-15,THIN OVERLAY,7.0,2015.0,1 - Heavy Maintenance,Residential/Local,820,18,Overlay of asphalt over asphalt
214343020,['5'],214343,LASSEN ST,020,MARIN AVE,EL DORADO AVE,11840,2022-07-18,39,,,,,,Residential/Local,370,32,Asphalt
115344080,['6'],115344,LATHAM LANE,080,MILLER AVE,GRIZZLY PEAK BLVD,10185,2022-07-07,41,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,485,21,Asphalt
115344083,['6'],115344,LATHAM LANE,083,CRESTON RD,OVERLOOK RD,6325,2022-07-07,70,1988-11-01,RECONSTRUCT SURFACE (AC),33.0,1988.0,4 - Reconstruct,Residential/Local,275,23,Asphalt
213345010,['5'],213345,LAUREL LN,010,CAPISTRANO AVE,SAN PEDRO AVE,10000,2022-07-19,30,,,,,,Residential/Local,500,20,Overlay of asphalt over asphalt
115347020,['6'],115347,LAUREL ST,020,OAK ST,EUNICE ST,16320,2022-07-07,37,1988-07-01,RECONSTRUCT SURFACE (AC),34.0,1988.0,4 - Reconstruct,Residential/Local,510,32,Asphalt
525349072,['6'],525349,LE CONTE AVE,072,ARCH ST & HEARST AVE,SCENIC AVE,23872,2022-07-27,75,2015-12-15,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Residential/Local,746,32,Overlay of asphalt over asphalt
525349074,['6'],525349,LE CONTE AVE,074,SCENIC AVE,EAST END,77292,2022-07-06,74,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,2147,36,Asphalt
516350032,['6'],516350,LE ROY AVE,032,ROSE ST,HAWTHORNE TERRACE,11700,2022-07-06,47,2000-10-20,RECONSTRUCT SURFACE (AC),21.0,2000.0,4 - Reconstruct,Residential/Local,390,30,Asphalt
516350034,['6'],516350,LE ROY AVE,034,HAWTHORNE TERRACE,CEDAR ST,37050,2022-07-06,86,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,1235,30,Asphalt
525350040,['6'],525350,LE ROY AVE,040,CEDAR ST,HILGARD AVE,12750,2022-07-06,82,2010-06-30,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Residential/Local,375,34,Asphalt
525350044,['6'],525350,LE ROY AVE,044,CUL-DE-SAC,RIDGE RD,28175,2022-07-06,24,1995-06-01,RECONSTRUCT SURFACE (AC),27.0,1995.0,4 - Reconstruct,Residential/Local,805,35,Asphalt
525350048,['6'],525350,LE ROY AVE,048,RIDGE RD,HEARST AVE,12950,2022-07-06,89,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Residential/Local,350,37,Overlay of asphalt over asphalt
638351070,['8'],638351,LEWISTON AVE,070,WOOLSEY ST,ALCATRAZ AVE,31680,2022-07-20,83,2008-09-24,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,880,36,Overlay of asphalt over asphalt
322352040,['1'],322352,LINCOLN ST,040,CHESTNUT ST,DEAD END,15840,2022-07-21,41,2008-08-28,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,440,36,Overlay of asphalt over asphalt
322352045,['1'],322352,LINCOLN ST,045,ACTON ST,SACRAMENTO ST,18000,2022-07-21,40,2008-08-28,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,750,24,Overlay of asphalt over asphalt
423352050,['1'],423352,LINCOLN ST,050,SACRAMENTO ST,GRANT ST,69660,2022-07-21,81,2019-09-20,SLURRY SEAL,2.0,2019.0,0 - Light Maintenance,Residential/Local,1935,36,Overlay of asphalt over asphalt
524352060,['4'],524352,LINCOLN ST,060,MILVIA ST,SHATTUCK AVE,21280,2022-07-26,89,2012-08-15,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,665,32,Asphalt
638353070,['8'],638353,LINDEN AVE,070,ASHBY AVE,WEBSTER ST,17820,2022-07-20,29,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,660,27,Asphalt
735354068,['3'],735354,LORINA ST,068,RUSSELL ST,ASHBY AVE,16500,2022-07-08,52,1988-07-01,THIN OVERLAY w/FABRIC,34.0,1988.0,1 - Heavy Maintenance,Residential/Local,550,30,Overlay of asphalt over asphalt
