DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,FC,ST,Lns,L,W,"AREA (SqFt)",PCI DATE,PCI,"Last MnR Date",Last MnR Treatment
1,320528,2ND ST,047,DELAWARE ST,HEARST AVE,R,A,2,475,42,"19,950",07/13/2022,11,,
1,320528,2ND ST,048,HEARST AVE,UNIVERSITY AVE,R,A,2,490,40,"19,600",07/20/2022,29,,
2,920528,2ND ST,050,UNIVERSITY AVE,ADDISON ST,R,O,2,450,35,"15,750",07/13/2022,98,11/30/2021,MILL AND OVERLAY
1,320220,4TH ST,030,HARRISON ST,CAMELIA ST,R,A,2,"1,375",36,"49,500",07/20/2022,76,07/16/2013,RECONSTRUCT STRUCTURE (AC)
1,320220,4TH ST,040,CAMELIA ST,CEDAR ST,R,A,2,"1,330",36,"47,880",07/20/2022,75,07/16/2013,RECONSTRUCT STRUCTURE (AC)
1,320220,4TH ST,044,CEDAR ST,VIRGINIA ST,R,A,2,665,36,"23,940",07/20/2022,67,08/16/2012,RECONSTRUCT STRUCTURE (AC)
1,320220,4TH ST,046,VIRGINIA ST,DELAWARE ST,R,A,2,665,36,"23,940",07/20/2022,85,08/16/2012,RECONSTRUCT STRUCTURE (AC)
1,320220,4TH ST,048,DELAWARE ST,UNIVERSITY AVE,R,O,2,950,28,"26,600",07/20/2022,83,08/16/2012,MILL AND THIN OVERLAY
2,920220,4TH ST,050,UNIVERSITY AVE,ADDISON ST,R,O,2,450,35,"15,750",07/13/2022,69,,
2,920220,4TH ST,054,ADDISON ST,CHANNING WAY,C,O,2,"1,810",36,"65,160",07/13/2022,29,,
2,920220,4TH ST,056,CHANNING WAY,DWIGHT WAY,C,A,2,615,36,"22,140",07/13/2022,66,06/15/2016,SLURRY SEAL
1,320212,5TH ST,030,NORTH CITY LIMIT,HARRISON ST,R,A,2,400,41,"16,400",07/20/2022,76,09/13/2000,RECONSTRUCT STRUCTURE (AC)
1,320212,5TH ST,033,HARRISON ST,CAMELIA ST,R,A,2,"1,305",48,"62,640",07/20/2022,80,09/20/2019,SLURRY SEAL
1,320212,5TH ST,040,CAMELIA ST,CEDAR ST,R,A,2,"1,320",48,"63,360",07/20/2022,22,04/01/2001,RECONSTRUCT SURFACE (AC)
1,320212,5TH ST,044,CEDAR ST,VIRGINIA ST,R,A,2,675,44,"29,700",07/20/2022,69,06/15/2016,SLURRY SEAL
1,320212,5TH ST,045,VIRGINIA ST,UNIVERSITY AVE,R,A,2,"1,650",44,"72,600",07/20/2022,70,06/15/2016,SLURRY SEAL
2,920212,5TH ST,050,UNIVERSITY AVE,DWIGHT WAY,R,O,2,"2,990",34,"101,660",07/13/2022,23,11/01/1990,MILL AND THIN OVERLAY
3,840540,62ND ST,050,WEST CITY LIMIT (CALIFORNIA),ADELINE ST,R,O,2,985,36,"35,460",07/12/2022,34,07/01/1988,MILL AND THICK OVERLAY
3,839540,62ND ST,060,MARTIN LUTHER KING JR WAY,CITY LIMIT (DOVER ST),R,O,2,525,36,"18,900",07/12/2022,27,10/01/1994,MILL AND OVERLAY W/FABRIC
3,840543,63RD ST,050,WEST CITY LIMIT (CALIFORNIA),ADELINE ST,R,A,2,"1,220",36,"43,920",07/12/2022,37,07/31/2002,RECONSTRUCT SURFACE (AC)
3,839543,63RD ST,060,MARTIN LUTHER KING JR WAY,CITY LIMIT (DOVER ST),R,O,2,400,36,"14,400",07/12/2022,22,,
2,940539,65TH ST,045,WEST CITY LIMIT (IDAHO),IDAHO ST,R,A,2,191,33,"6,303",07/13/2022,34,07/31/2006,RECONSTRUCT SURFACE (AC)
3,839539,65TH ST,060,ADELINE ST,680' E/O ADELINE ST,R,A,2,680,36,"24,480",07/12/2022,30,07/01/1993,RECONSTRUCT SURFACE (AC)
2,940542,66TH ST,045,WEST CITY LIMIT (MABEL),SACRAMENTO ST,R,A,2,"1,418",36,"51,048",07/12/2022,52,07/31/2006,RECONSTRUCT SURFACE (AC)
2,940541,67TH ST,045,WEST CITY LIMIT (MABEL),SACRAMENTO ST,R,A,2,"1,465",30,"43,950",07/12/2022,81,07/31/2006,RECONSTRUCT STRUCTURE (AC)
1,320538,6TH ST,030,NORTH CITY LIMIT,GILMAN ST,R,O,2,"1,140",42,"47,880",07/20/2022,79,09/20/2019,SLURRY SEAL
1,320538,6TH ST,035,GILMAN ST,CAMELIA ST,C,O,2,640,48,"30,720",07/20/2022,81,08/31/2004,MILL AND OVERLAY W/FABRIC
1,321538,6TH ST,040,CAMELIA ST,CEDAR ST,C,O,2,"1,320",48,"63,360",07/20/2022,74,08/31/2004,MILL AND OVERLAY W/FABRIC
1,321538,6TH ST,044,CEDAR ST,VIRGINIA ST,C,O,4,675,59,"39,825",07/20/2022,54,04/01/2001,MILL AND OVERLAY W/FABRIC
1,321538,6TH ST,045,VIRGINIA ST,UNIVERSITY AVE,C,O,4,"1,625",59,"95,875",07/20/2022,63,04/01/2001,MILL AND OVERLAY W/FABRIC
2,932538,6TH ST,050,UNIVERSITY AVE,ALLSTON WAY,C,O,2,"1,000",48,"48,000",07/13/2022,87,12/16/2015,MILL AND OVERLAY
2,932538,6TH ST,055,ALLSTON WAY,DWIGHT WAY,C,O,2,"1,955",48,"93,840",07/13/2022,93,10/11/2019,MILL AND THICK OVERLAY
1,320530,7TH ST,030,HARRISON ST,GILMAN ST,R,A,2,665,34,"22,610",07/20/2022,61,,
1,320530,7TH ST,035,GILMAN ST,CAMELIA ST,R,A,2,650,34,"22,100",07/20/2022,20,,
1,321530,7TH ST,040,CAMELIA ST,VIRGINIA ST,R,O,2,"1,995",36,"71,820",07/20/2022,35,04/01/2001,MILL AND OVERLAY W/FABRIC
1,321530,7TH ST,045,VIRGINIA ST,UNIVERSITY AVE,R,O,2,"1,625",36,"58,500",07/20/2022,30,11/01/1990,MILL AND THIN OVERLAY
2,932530,7TH ST,050,UNIVERSITY AVE,BANCROFT WAY,R,O,2,"1,670",36,"60,120",07/13/2022,28,08/28/1997,MILL AND OVERLAY W/FABRIC
2,932530,7TH ST,055,BANCROFT WAY,DWIGHT WAY,R,O,2,"1,330",36,"47,880",07/13/2022,32,11/01/1990,MILL AND THIN OVERLAY
2,920530,7TH ST,060,DWIGHT WAY,GRAYSON ST,C,O,2,"1,844",41,"75,604",07/13/2022,69,07/07/2008,MILL AND THICK OVERLAY
2,920530,7TH ST,065,GRAYSON ST,HEINZ AVE,C,O,2,690,41,"28,290",07/13/2022,74,07/07/2008,MILL AND THICK OVERLAY
2,920530,7TH ST,067,HEINZ AVE,ASHBY AVE,C,O,2,"1,010",46,"46,460",07/13/2022,78,10/23/2003,MILL AND THICK OVERLAY
2,920530,7TH ST,070,ASHBY AVE,FOLGER AVE,C,O,2,364,34,"12,376",07/13/2022,37,10/23/2003,MILL AND THICK OVERLAY
1,320175,8TH ST,030,NORTH CITY LIMIT,GILMAN ST,R,A,2,"1,185",36,"42,660",07/20/2022,78,12/01/2017,SLURRY SEAL
1,320175,8TH ST,034,GILMAN ST,CAMELIA ST,R,O,2,625,35,"21,875",07/20/2022,29,04/01/2001,MILL AND OVERLAY W/FABRIC
1,321175,8TH ST,040,CAMELIA ST,PAGE ST,R,O,2,440,34,"14,960",07/20/2022,39,04/01/2001,MILL AND OVERLAY W/FABRIC
1,321175,8TH ST,042,PAGE ST,JONES ST,R,O,2,460,35,"16,100",07/20/2022,13,09/01/1991,MILL AND OVERLAY W/FABRIC
1,321175,8TH ST,044,JONES ST,VIRGINIA ST,R,O,2,"1,095",35,"38,325",07/20/2022,18,09/01/1991,MILL AND OVERLAY W/FABRIC
1,321175,8TH ST,045,VIRGINIA ST,UNIVERSITY AVE,R,O,2,"1,625",37,"60,125",07/20/2022,17,11/01/1990,MILL AND THIN OVERLAY
2,932175,8TH ST,050,UNIVERSITY AVE,ALLSTON WAY,R,A,2,"1,010",36,"36,360",07/13/2022,24,08/28/1997,RECONSTRUCT STRUCTURE (AC)
2,932175,8TH ST,055,ROSA PARKS ELEMENTARY SCHOOL,DWIGHT WAY,R,O,2,"1,705",36,"61,380",07/13/2022,15,10/01/1994,MILL AND OVERLAY W/FABRIC
2,920175,8TH ST,062,PARKER ST,CARLETON ST,R,A,2,545,33,"17,985",07/13/2022,75,12/01/1989,RECONSTRUCT STRUCTURE (AC)
2,920175,8TH ST,063,CARLETON ST,PARDEE ST,R,A,2,304,34,"10,336",07/13/2022,25,06/15/2000,RECONSTRUCT SURFACE (AC)
2,920175,8TH ST,065,PARDEE ST,HEINZ AVE,R,A,2,962,36,"34,632",07/13/2022,73,06/15/2000,RECONSTRUCT STRUCTURE (AC)
1,320403,9TH ST,030,NORTH CITY LIMIT,CAMELIA ST,R,O,2,"1,720",46,"79,120",07/20/2022,83,07/10/2013,MILL AND OVERLAY
1,321403,9TH ST,040,CAMELIA ST,CEDAR ST,R,O,2,"1,330",47,"62,510",07/20/2022,82,07/10/2013,MILL AND OVERLAY
1,321403,9TH ST,043,CEDAR ST,DELAWARE ST,R,O,2,"1,330",48,"63,840",07/20/2022,67,06/15/2016,SLURRY SEAL
1,321403,9TH ST,046,DELAWARE ST,HEARST AVE,R,O,2,480,48,"23,040",07/20/2022,62,06/15/2016,SLURRY SEAL
1,321403,9TH ST,048,HEARST AVE,UNIVERSITY AVE,R,O,2,480,48,"23,040",07/20/2022,61,06/15/2016,SLURRY SEAL
2,932403,9TH ST,052,UNIVERSITY AVE,BANCROFT WAY,R,O,2,"1,635",48,"78,480",07/13/2022,76,06/15/2016,SLURRY SEAL
2,932403,9TH ST,054,BANCROFT WAY,CHANNING WAY,R,A,2,705,48,"33,840",07/13/2022,81,05/09/2011,RECONSTRUCT SURFACE (AC)
2,932403,9TH ST,056,CHANNING WAY,DWIGHT WAY,R,A,2,665,48,"31,920",07/13/2022,81,05/09/2011,RECONSTRUCT STRUCTURE (AC)
2,920403,9TH ST,060,DWIGHT WAY,PARDEE ST,R,A,2,"1,444",43,"62,092",07/13/2022,80,07/31/2008,RECONSTRUCT STRUCTURE (AC)
2,920403,9TH ST,063,PARDEE ST,HEINZ AVE,R,A,2,"1,000",48,"48,000",07/13/2022,24,11/01/1992,RECONSTRUCT STRUCTURE (AC)
2,920403,9TH ST,066,HEINZ AVE,JOG JUST NORTH OF ANTHONY,R,A,2,410,36,"14,760",10/26/2022,82,10/26/2022,RUBBERIZED CAPE SEAL
2,920403,9TH ST,068,JOG JUST NORTH OF ANTHONY,ASHBY ST,R,A,2,340,38,"12,920",07/13/2022,92,10/10/2016,RECONSTRUCT
2,920403,9TH ST,069,ASHBY AVE,MURRAY ST,R,O,2,150,36,"5,400",07/13/2022,76,12/01/2017,SLURRY SEAL
6,111034,ACACIA AVE,070,CRAGMONT AVE,EUCLID AVE,R,A,2,500,22,"11,000",07/08/2022,15,06/06/2000,RECONSTRUCT SURFACE (AC)
2,931002,ACROFT CT,040,ACTON ST,DEAD END (ACTON ST),R,A,2,270,20,"5,400",07/12/2022,60,11/01/1988,RECONSTRUCT SURFACE (AC)
2,931003,ACTON CIRCLE,050,DEAD END (ACTON CRESCENT),ACTON CRESCENT,R,O,2,120,21,"2,520",07/27/2022,25,,
2,931004,ACTON CRESCENT,040,ACTON ST,EAST DEAD END (ACTON ST),R,A,2,470,21,"9,870",07/27/2022,27,,
1,319005,ACTON ST,030,NORTH CITY LIMIT,HOPKINS ST,R,O,2,"1,085",36,"39,060",07/18/2022,40,08/31/2004,MILL AND THIN OVERLAY
1,319005,ACTON ST,035,HOPKINS ST,ROSE ST,R,O,2,640,28,"17,920",07/18/2022,22,08/10/1998,MILL AND OVERLAY W/FABRIC
1,319005,ACTON ST,038,ROSE ST,CEDAR ST,R,O,2,635,34,"21,590",07/21/2022,17,08/10/1998,MILL AND THIN OVERLAY
1,322005,ACTON ST,040,CEDAR ST,UNIVERSITY AVE,R,O,2,"2,260",34,"76,840",07/21/2022,40,08/10/1998,MILL AND OVERLAY W/FABRIC
2,931005,ACTON ST,050,ADDISON ST,BANCROFT WAY,R,A,2,"1,350",26,"35,100",07/27/2022,42,12/01/1987,RECONSTRUCT SURFACE (AC)
2,931005,ACTON ST,052,ADDISON ST,UNIVERSITY AVE,R,O,2,340,30,"10,200",07/21/2022,41,08/10/1998,MILL AND OVERLAY W/FABRIC
2,931005,ACTON ST,055,BANCROFT WAY,DWIGHT WAY,R,O,2,"1,330",36,"47,880",07/12/2022,17,10/01/1992,MILL AND THICK OVERLAY
2,933005,ACTON ST,060,DWIGHT WAY,BLAKE ST,R,A,2,320,36,"11,520",07/12/2022,36,06/16/2000,RECONSTRUCT SURFACE (AC)
2,933005,ACTON ST,061,BLAKE ST,PARKER ST,R,A,2,325,36,"11,700",07/12/2022,12,,
2,933005,ACTON ST,063,PARKER ST,WARD ST,R,O,2,895,36,"32,220",07/12/2022,15,10/01/1992,MILL AND OVERLAY W/FABRIC
2,933005,ACTON ST,065,WARD ST,RUSSELL ST,R,O,2,"1,154",36,"41,544",07/12/2022,16,10/01/1992,MILL AND OVERLAY W/FABRIC
2,933005,ACTON ST,069,RUSSELL ST,ASHBY AVE,R,O,2,491,36,"17,676",07/12/2022,77,06/15/2016,SLURRY SEAL
2,940005,ACTON ST,070,ASHBY ST,66TH ST,R,A,2,"1,234",36,"44,424",07/12/2022,86,10/30/2020,SLURRY SEAL
5,418006,ADA ST,050,SACRAMENTO ST,CALIFORNIA ST,R,O,2,500,36,"18,000",07/18/2022,67,08/26/2008,MILL AND THICK OVERLAY
5,418006,ADA ST,055,CALIFORNIA ST,MC GEE ST,R,O,2,360,36,"12,960",07/18/2022,60,,
2,920007,ADDISON ST,010,AQUATIC PARK,RRX,R,A,2,466,36,"16,776",07/13/2022,69,02/24/2012,RECONSTRUCT STRUCTURE (AC)
2,920007,ADDISON ST,015,RRX,4TH ST,R,O,2,322,36,"11,592",07/13/2022,80,08/27/1997,MILL AND OVERLAY W/FABRIC
2,920007,ADDISON ST,025,4TH ST,6TH ST,R,O,2,680,36,"24,480",07/13/2022,18,08/27/1997,MILL AND OVERLAY W/FABRIC
2,932007,ADDISON ST,030,6TH ST,SAN PABLO AVE,R,O,2,"1,642",36,"59,112",07/13/2022,14,08/27/1997,MILL AND OVERLAY W/FABRIC
2,931007,ADDISON ST,040,SAN PABLO AVE,CURTIS ST,R,O,2,730,36,"26,280",07/13/2022,21,08/18/1997,MILL AND OVERLAY W/FABRIC
2,931007,ADDISON ST,044,BROWNING ST,SACRAMENTO ST,R,O,2,"1,900",36,"68,400",07/27/2022,45,10/01/1995,MILL AND OVERLAY W/FABRIC
4,830007,ADDISON ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,R,O,2,"2,620",36,"94,320",07/27/2022,34,10/01/1995,MILL AND OVERLAY W/FABRIC
4,829007,ADDISON ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,670,37,"24,790",07/27/2022,46,10/01/1995,MILL AND OVERLAY W/FABRIC
4,729007,ADDISON ST,062,SHATTUCK AVE,MILVIA ST,R,O,2,700,31,"21,700",07/27/2022,35,,
4,729007,ADDISON ST,064,SHATTUCK AVE,SHATTUCK AVE,R,A,2,180,39,"7,020",07/27/2022,94,06/09/2020,RECONSTRUCT SURFACE (AC)
4,729007,ADDISON ST,066,SHATTUCK AVE,OXFORD ST,R,A,2,490,37,"18,130",07/27/2022,76,12/09/2015,RECONSTRUCT STRUCTURE (AC)
3,839008,ADELINE (NB),076,ALCATRAZ AVE,MLK/ ADELINE ST,A,O,2,890,37,"32,930",07/12/2022,69,09/24/2012,MILL AND THIN OVERLAY
3,735008,ADELINE ST,060,DERBY ST,STUART ST,A,C,4,750,85,"63,750",07/12/2022,96,05/26/2020,MILL AND OVERLAY
3,735008,ADELINE ST,064,STUART ST,ASHBY AVE,A,C,4,"1,480",84,"124,320",07/12/2022,96,05/26/2020,MILL AND OVERLAY
3,839008,ADELINE ST,070,ASHBY AVE,MLK/ ADELINE ST,A,O,4,"1,420",85,"120,700",07/12/2022,70,09/24/2012,MILL AND THIN OVERLAY
3,840008,ADELINE ST,078,ALCATRAZ AVE,SOUTH CITY LIMIT (KING ST),A,O,5,"1,045",70,"73,150",07/12/2022,69,09/24/2012,MILL AND THIN OVERLAY
3,839008,ADELINE ST (SB),074,ADELINE ST/ MARTIN LUTHER KING JR WAY,ALCATRAZ AVE,A,O,2,945,36,"34,020",07/12/2022,67,09/24/2012,MILL AND THIN OVERLAY
6,516010,AJAX PL,080,AJAX LANE,SUMMIT RD,R,A,2,305,20,"6,100",07/07/2022,13,,
6,111011,ALAMO AVE,010,SPRUCE ST,HALKIN LANE,R,O,2,840,20,"16,800",07/08/2022,15,10/01/1992,MILL AND THICK OVERLAY
1,319012,ALBINA AVE,030,NORTH CITY LIMIT,HOPKINS ST,R,A,2,730,32,"23,360",07/18/2022,67,11/06/2003,RECONSTRUCT SURFACE (AC)
2,940013,ALCATRAZ AVE,045,WEST CITY LIMIT (IDAHO),SACRAMENTO ST,C,O,2,"1,225",38,"46,550",07/12/2022,84,06/26/2013,MILL AND OVERLAY
3,840013,ALCATRAZ AVE,050,SACRAMENTO ST,ADELINE ST,C,A,2,"1,840",38,"69,920",07/12/2022,65,,
3,839013,ALCATRAZ AVE,060,ADELINE ST,CITY LIMIT (DOVER ST),C,O,2,910,48,"43,680",07/12/2022,91,08/14/2015,MILL AND OVERLAY
8,638013,ALCATRAZ AVE,080,CITY LIMIT (COLLEGE AVE),CLAREMONT AVE,C,O,2,670,36,"24,120",07/28/2022,53,11/01/1986,MILL AND THICK OVERLAY
2,920014,ALLSTON WAY,020,DEAD END,6TH ST,R,O,2,930,36,"33,480",07/12/2022,17,08/26/1997,MILL AND THICK OVERLAY
2,932014,ALLSTON WAY,030,6TH ST,9TH ST,R,O,2,985,36,"35,460",07/12/2022,16,08/19/1997,MILL AND OVERLAY W/FABRIC
2,932014,ALLSTON WAY,035,9TH ST,SAN PABLO AVE,R,O,2,657,36,"23,652",07/12/2022,20,08/19/1997,MILL AND OVERLAY W/FABRIC
2,931014,ALLSTON WAY,040,SAN PABLO AVE,STRAWBERRY CK PARK,R,O,2,"1,430",36,"51,480",07/12/2022,31,08/18/1997,MILL AND OVERLAY W/FABRIC
2,931014,ALLSTON WAY,045,STRAWBERRY CK PARK,ACTON ST,R,O,2,530,36,"19,080",07/12/2022,67,12/01/2017,SLURRY SEAL
2,931014,ALLSTON WAY,047,ACTON ST,SACRAMENTO ST,R,O,2,640,36,"23,040",07/12/2022,67,12/01/2017,SLURRY SEAL
4,830014,ALLSTON WAY,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,R,O,2,"2,660",36,"95,760",07/27/2022,84,07/25/2014,MILL AND OVERLAY
4,729014,ALLSTON WAY,063,MILVIA ST,SHATTUCK AVE,R,O,2,715,36,"25,740",07/27/2022,43,11/01/1990,MILL AND THIN OVERLAY
4,729014,ALLSTON WAY,065,SHATTUCK AVE,OXFORD ST,R,O,2,590,32,"18,880",07/27/2022,95,04/10/2020,MILL AND THICK OVERLAY
6,111015,ALTA RD,070,SPRUCE ST,CRAGMONT AVE,R,A,2,390,22,"8,580",07/08/2022,20,09/08/1999,RECONSTRUCT SURFACE (AC)
8,638017,ALVARADO RD,090,TUNNEL RD,NORTH CITY LIMIT,R,A,2,770,24,"18,480",07/20/2022,89,11/04/2015,RECONSTRUCT
8,638017,ALVARADO RD,092,NORTH CITY LIMIT,BRIDGE RD,R,A,2,450,24,"10,800",07/20/2022,91,11/04/2015,RECONSTRUCT
8,638017,ALVARADO RD,094,BRIDGE RD,NORTH CITY LIMIT AB WILLOW WK,R,O,2,"1,890",24,"45,360",07/20/2022,44,02/27/1998,THIN AC OVERLAY(1.5 INCHES)
5,114018,AMADOR AVE,060,SUTTER ST,SHATTUCK AVE,R,O,2,920,32,"29,440",07/14/2022,53,12/01/1989,MILL AND OVERLAY W/FABRIC
2,920019,ANTHONY ST,030,5TH ST,7TH ST,R,A,2,650,36,"23,400",07/13/2022,17,,
2,920019,ANTHONY ST,040,7TH ST,9TH ST,R,A,2,564,36,"20,304",07/13/2022,34,,
6,516020,ARCADE AVE,030,GRIZZLY PEAK BLVD,FAIRLAWN DR,R,O,2,310,23,"7,130",07/07/2022,95,10/20/2020,MILL AND OVERLAY
6,115021,ARCH ST,020,SPRUCE ST,EUNICE ST,R,O,2,"1,175",35,"41,125",07/07/2022,16,11/01/1990,MILL AND THIN OVERLAY
6,516021,ARCH ST,030,GLEN AVE,CEDAR ST,R,O,2,"1,995",36,"71,820",07/08/2022,9,,
6,525021,ARCH ST,040,CEDAR ST,HEARST AVE,R,A,2,"1,735",31,"53,785",07/27/2022,73,09/13/2002,RECONSTRUCT STRUCTURE (AC)
8,627023,ARDEN RD,050,MOSSWOOD RD,PANORAMIC WAY,R,A,2,610,15,"9,150",07/28/2022,95,08/16/2019,RECONSTRUCT STRUCTURE (AC)
5,112024,ARLINGTON AVE,010,NORTH CITY LIMIT (BOYNTON),THOUSAND OAKS BLVD,C,A,2,"2,695",44,"118,580",07/19/2022,65,01/21/2005,RECONSTRUCT STRUCTURE (AC)
5,112024,ARLINGTON AVE,015,THOUSAND OAKS BLVD,THE CIRCLE,C,A,2,"2,940",49,"144,060",07/19/2022,65,01/21/2005,RECONSTRUCT STRUCTURE (AC)
8,637026,ASHBY PL,080,ASHBY AVE & ELMWOOD AVE,ASHBY AVE & PIEDMONT AVE,R,O,2,600,34,"20,400",07/20/2022,89,10/14/2011,MILL AND THICK OVERLAY
4,728027,ATHERTON ST,050,CHANNING WAY,HASTE ST,R,O,2,325,35,"11,375",07/27/2022,18,09/01/1991,MILL AND THICK OVERLAY
6,516029,ATLAS PL,080,HILL RD,SUMMIT RD,R,A,2,200,20,"4,000",07/07/2022,7,,
8,637030,AVALON AVE,082,AVALON WALK,OAK KNOLL TERR,R,A,2,630,20,"12,600",07/29/2022,24,08/01/1996,RECONSTRUCT SURFACE (AC)
8,637030,AVALON AVE,083,OAK KNOLL TERR,CLAREMONT BLVD,R,A,2,525,36,"18,900",07/29/2022,23,,
8,637030,AVALON AVE,084,CLAREMONT BLVD,CLAREMONT AVE,R,O,2,300,25,"7,500",07/29/2022,31,08/01/1996,MILL AND OVERLAY W/FABRIC
6,516471,AVENIDA DR,034,CAMPUS DR,QUEENS RD,R,A,2,445,24,"10,680",07/06/2022,75,,
6,516032,AVENIDA DR,080,QUEENS RD,GRIZZLY PEAK BLVD,R,A,2,"1,315",24,"31,560",07/06/2022,37,07/01/1993,RECONSTRUCT STRUCTURE (AC)
5,112033,AVIS RD,060,SAN ANTONIO AVE,SAN LUIS RD,R,O,2,440,20,"8,800",07/18/2022,74,07/10/1997,MILL AND THICK OVERLAY
2,940040,BAKER ST,075,66TH ST,SOUTH CITY LIMIT (ALCATRAZ),R,A,2,"1,019",36,"36,684",07/12/2022,61,11/01/1988,RECONSTRUCT SURFACE (AC)
2,920042,BANCROFT WAY,022,AQUATIC PARK,3RD ST (RR TRACKS),R,O,2,300,36,"10,800",07/12/2022,74,11/22/2011,MILL AND THICK OVERLAY
2,920042,BANCROFT WAY,024,3RD ST (RR TRACKS),6TH ST,R,A,2,"1,000",36,"36,000",07/12/2022,71,11/22/2011,RECONSTRUCT STRUCTURE (AC)
2,932042,BANCROFT WAY,030,6TH ST,7TH ST,R,O,2,330,36,"11,880",07/12/2022,86,11/30/2021,SLURRY SEAL
2,932042,BANCROFT WAY,035,7TH ST,SAN PABLO AVE,R,A,2,"1,300",36,"46,800",07/12/2022,86,11/30/2021,SLURRY SEAL
2,931042,BANCROFT WAY,040,SAN PABLO AVE,WEST ST,R,A,2,"1,524",36,"54,864",07/12/2022,54,12/01/1987,RECONSTRUCT SURFACE (AC)
2,931042,BANCROFT WAY,045,WEST ST,SACRAMENTO ST,R,A,2,"1,121",36,"40,356",07/12/2022,69,12/01/1987,RECONSTRUCT SURFACE (AC)
4,830042,BANCROFT WAY,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,R,O,2,"2,640",36,"95,040",07/27/2022,33,11/01/1990,MILL AND THIN OVERLAY
4,729042,BANCROFT WAY,065,FULTON ST,SHATTUCK AVE,C,O,2,500,40,"20,000",07/27/2022,35,08/07/1997,MILL AND OVERLAY W/FABRIC
7,728042,BANCROFT WAY,072,TELEGRAPH AVE,DANA ST,C,A,2,675,48,"32,400",07/27/2022,84,11/30/2015,RECONSTRUCT SURFACE (AC)
7,728042,BANCROFT WAY,074,DANA ST,FULTON ST,C,O,2,"1,305",48,"62,640",07/27/2022,85,11/10/2017,MILL AND THICK OVERLAY
7,728042,BANCROFT WAY,076,BOWDITCH ST,TELEGRAPH AVE,C,O,2,670,40,"26,800",07/28/2022,46,12/01/1990,MILL AND OVERLAY W/FABRIC
7,628042,BANCROFT WAY,078,COLLEGE AVE,BOWDITCH ST,C,O,2,670,40,"26,800",07/28/2022,48,12/01/1990,MILL AND OVERLAY W/FABRIC
7,627042,BANCROFT WAY,080,PIEDMONT AVE,COLLEGE AVE,C,O,2,670,36,"24,120",07/28/2022,26,12/01/1990,MILL AND OVERLAY W/FABRIC
7,627042,BANCROFT WAY,082,PIEDMONT AVE,WARRING ST,R,A,2,350,36,"12,600",07/27/2022,22,08/01/1996,RECONSTRUCT SURFACE (AC)
